,Key Communities,Shutoff,Latitude,Longitude,Day,High,Low,Humidity,Dewpoint,Pressure,Windspeed,Windgust,Cover
189,Oroville,True,39.5137752,-121.556359,2019-10-30,71.06,42.21,0.17,6.43,1015.7,7.09,19.21,0.07
190,Oroville,True,39.5137752,-121.556359,2019-10-31,72.95,42.44,0.09,-4.73,1021.7,5.58,14.14,0.0
191,Lake Berryessa,True,38.6097407,-122.254045,2019-06-08,79.11,61.55,0.34,31.48,1015.5,6.77,15.26,0.08
192,Lake Berryessa,True,38.6097407,-122.254045,2019-10-23,88.44,65.16,0.25,33.2,1020.7,6.96,18.23,0.02
193,Lake Berryessa,True,38.6097407,-122.254045,2019-10-23,88.44,65.16,0.25,33.2,1020.7,6.96,18.23,0.02
194,Lake Berryessa,True,38.6097407,-122.254045,2019-10-24,85.42,69.9,0.23,27.87,1015.7,12.14,35.26,0.05
195,Lake Berryessa,True,38.6097407,-122.254045,2019-10-24,85.42,69.9,0.23,27.87,1015.7,12.14,35.26,0.05
196,Lake Berryessa,True,38.6097407,-122.254045,2019-11-20,69.25,56.44,0.61,45.09,1006.1,4.5,24.54,0.13
197,Lake Berryessa,True,38.6097407,-122.254045,2019-11-20,69.25,56.44,0.61,45.09,1006.1,4.5,24.54,0.13
198,Lake Berryessa,True,38.6097407,-122.254045,2019-11-21,66.87,45.77,0.3,27.76,1001.8,16.31,37.7,0.07
199,Lake Berryessa,True,38.6097407,-122.254045,2019-11-21,66.87,45.77,0.3,27.76,1001.8,16.31,37.7,0.07
200,Magalia,True,39.8121058,-121.5783059,2019-06-08,69.31,55.13,0.45,36.93,1015.2,5.92,21.68,0.09
201,Magalia,True,39.8121058,-121.5783059,2019-06-09,77.57,65.96,0.21,24.3,1018.0,8.76,29.2,0.12
202,Magalia,True,39.8121058,-121.5783059,2019-10-05,65.93,52.43,0.53,38.28,1019.5,3.15,12.91,0.08
203,Magalia,True,39.8121058,-121.5783059,2019-10-05,65.93,52.43,0.53,38.28,1019.5,3.15,12.91,0.08
204,Magalia,True,39.8121058,-121.5783059,2019-10-06,72.83,63.87,0.36,34.76,1019.4,4.67,17.16,0.03
205,Magalia,True,39.8121058,-121.5783059,2019-10-06,72.83,63.87,0.36,34.76,1019.4,4.67,17.16,0.03
206,Magalia,True,39.8121058,-121.5783059,2019-10-09,78.12,52.31,0.31,35.7,1011.4,4.59,11.17,0.18
207,Magalia,True,39.8121058,-121.5783059,2019-10-09,78.12,52.31,0.31,35.7,1011.4,4.59,11.17,0.18
208,Magalia,True,39.8121058,-121.5783059,2019-10-10,68.46,48.46,0.27,23.77,1013.0,6.62,26.59,0.0
209,Magalia,True,39.8121058,-121.5783059,2019-10-10,68.46,48.46,0.27,23.77,1013.0,6.62,26.59,0.0
210,Magalia,True,39.8121058,-121.5783059,2019-10-11,71.27,55.1,0.14,10.31,1017.1,9.25,31.01,0.0
211,Magalia,True,39.8121058,-121.5783059,2019-09-25,90.54,79.32,0.29,44.34,1015.4,5.65,21.81,0.04
212,Magalia,True,39.8121058,-121.5783059,2019-09-26,92.49,72.59,0.3,49.23,1010.3,7.72,26.78,0.0
213,Magalia,True,39.8121058,-121.5783059,2019-10-23,80.13,66.46,0.3,37.27,1021.6,5.23,17.21,0.03
214,Magalia,True,39.8121058,-121.5783059,2019-10-23,80.13,66.46,0.3,37.27,1021.6,5.23,17.21,0.03
215,Magalia,True,39.8121058,-121.5783059,2019-10-24,79.37,64.4,0.22,27.16,1017.8,8.12,27.93,0.11
216,Magalia,True,39.8121058,-121.5783059,2019-10-24,79.37,64.4,0.22,27.16,1017.8,8.12,27.93,0.11
217,Magalia,True,39.8121058,-121.5783059,2019-10-26,80.78,57.84,0.18,24.7,1019.1,5.35,15.45,0.01
218,Magalia,True,39.8121058,-121.5783059,2019-10-26,80.78,57.84,0.18,24.7,1019.1,5.35,15.45,0.01
219,Magalia,True,39.8121058,-121.5783059,2019-10-27,75.6,44.73,0.27,30.79,1011.4,4.8,16.08,0.01
220,Magalia,True,39.8121058,-121.5783059,2019-10-27,75.6,44.73,0.27,30.79,1011.4,4.8,16.08,0.01
